Tlin11583-RA	f47b2e8d038368e3bf39ba79d1364618	90	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	62	84	-	T	19-02-2024	-	-
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	Gene3D	G3DSA:1.20.1070.10	-	49	393	8.0E-76	T	19-02-2024	-	-
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	ProSitePatterns	PS00237	G-protein coupled receptors family 1 signature.	145	161	-	T	19-02-2024	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930|GO:0007186|GO:0016020
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	168	190	-	T	19-02-2024	-	-
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	227	249	-	T	19-02-2024	-	-
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	287	309	-	T	19-02-2024	-	-
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	94	116	-	T	19-02-2024	-	-
Tlin11499-RA	87ce82552096744b5ffedb988dbfdf03	415	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	136	155	-	T	19-02-2024	-	-
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	SUPERFAMILY	SSF54236	Ubiquitin-like	394	486	9.9E-14	T	19-02-2024	IPR029071	Ubiquitin-like domain superfamily	-
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	Gene3D	G3DSA:3.10.20.90	-	413	499	7.3E-7	T	19-02-2024	-	-
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	SUPERFAMILY	SSF52058	L domain-like	64	321	8.5E-19	T	19-02-2024	-	-
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	46	168	1.9E-12	T	19-02-2024	IPR032675	Leucine-rich repeat domain superfamily	-
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	Gene3D	G3DSA:3.80.10.10	Ribonuclease Inhibitor	169	360	2.7E-14	T	19-02-2024	IPR032675	Leucine-rich repeat domain superfamily	-
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	PANTHER	PTHR15140	TUBULIN-SPECIFIC CHAPERONE E	54	245	7.5E-16	T	19-02-2024	IPR044994	Tubulin-specific chaperone E	GO:0006457|GO:0043014
Tlin01541-RA	2240438365b14ea0ddefe9ca1aa61efe	509	Pfam	PF14560	Ubiquitin-like domain	415	480	2.3E-5	T	19-02-2024	IPR000626	Ubiquitin-like domain	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Gene3D	G3DSA:1.25.40.420	-	181	303	1.0E-41	T	19-02-2024	-	-
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF01344	Kelch motif	556	601	9.0E-15	T	19-02-2024	IPR006652	Kelch repeat type 1	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF01344	Kelch motif	462	507	9.3E-15	T	19-02-2024	IPR006652	Kelch repeat type 1	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF01344	Kelch motif	416	460	3.4E-12	T	19-02-2024	IPR006652	Kelch repeat type 1	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF01344	Kelch motif	331	366	8.4E-5	T	19-02-2024	IPR006652	Kelch repeat type 1	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF01344	Kelch motif	510	553	9.4E-9	T	19-02-2024	IPR006652	Kelch repeat type 1	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF01344	Kelch motif	368	413	2.0E-11	T	19-02-2024	IPR006652	Kelch repeat type 1	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF07707	BTB And C-terminal Kelch	184	285	1.7E-33	T	19-02-2024	IPR011705	BTB/Kelch-associated	-
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	SUPERFAMILY	SSF54695	POZ domain	58	177	4.71E-34	T	19-02-2024	IPR011333	SKP1/BTB/POZ domain superfamily	-
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Pfam	PF00651	BTB/POZ domain	73	178	4.3E-30	T	19-02-2024	IPR000210	BTB/POZ domain	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Gene3D	G3DSA:2.120.10.80	-	308	484	1.3E-42	T	19-02-2024	IPR015915	Kelch-type beta propeller	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	SUPERFAMILY	SSF50965	Galactose oxidase, central domain	335	612	4.45E-57	T	19-02-2024	IPR011043	Galactose oxidase/kelch, beta-propeller	-
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Gene3D	G3DSA:3.30.710.10	Potassium Channel Kv1.1; Chain A	51	180	9.4E-37	T	19-02-2024	IPR011333	SKP1/BTB/POZ domain superfamily	-
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	Gene3D	G3DSA:2.120.10.80	-	485	617	4.9E-36	T	19-02-2024	IPR015915	Kelch-type beta propeller	GO:0005515
Tlin04345-RA	ef251a3b8fc73802a3cc87d84acaace9	628	PANTHER	PTHR24412	KELCH PROTEIN	544	613	7.0E-156	T	19-02-2024	-	-
Tlin02707-RA	accead715d9ab542f3d7196733097248	540	PANTHER	PTHR12400	INOSITOL POLYPHOSPHATE KINASE	47	539	8.4E-88	T	19-02-2024	IPR005522	Inositol polyphosphate kinase	GO:0016301|GO:0032958
Tlin02707-RA	accead715d9ab542f3d7196733097248	540	Gene3D	G3DSA:3.30.470.160	Inositol polyphosphate kinase	69	540	4.3E-81	T	19-02-2024	IPR038286	Inositol polyphosphate kinase superfamily	-
Tlin02707-RA	accead715d9ab542f3d7196733097248	540	SUPERFAMILY	SSF56104	SAICAR synthase-like	55	536	1.05E-68	T	19-02-2024	-	-
Tlin02707-RA	accead715d9ab542f3d7196733097248	540	Pfam	PF03770	Inositol polyphosphate kinase	134	532	1.0E-57	T	19-02-2024	IPR005522	Inositol polyphosphate kinase	GO:0016301|GO:0032958
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	Gene3D	G3DSA:1.10.287.110	DnaJ domain	515	608	3.1E-19	T	19-02-2024	IPR036869	Chaperone J-domain superfamily	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	SUPERFAMILY	SSF46565	Chaperone J-domain	522	591	8.5E-20	T	19-02-2024	IPR036869	Chaperone J-domain superfamily	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	Pfam	PF14901	Cleavage inducing molecular chaperone	623	719	3.2E-35	T	19-02-2024	IPR032843	Cleavage inducing molecular chaperone, Jiv	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	Pfam	PF00226	DnaJ domain	531	592	3.1E-16	T	19-02-2024	IPR001623	DnaJ domain	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	SUPERFAMILY	SSF48371	ARM repeat	1208	1445	4.7E-6	T	19-02-2024	IPR016024	Armadillo-type fold	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	Pfam	PF08620	RPAP1-like, C-terminal	1169	1235	2.4E-20	T	19-02-2024	IPR013929	RNA polymerase II-associated protein 1, C-terminal	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	Pfam	PF08621	RPAP1-like, N-terminal	1055	1098	3.1E-13	T	19-02-2024	IPR013930	RNA polymerase II-associated protein 1, N-terminal	-
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	PANTHER	PTHR21483	RNA POLYMERASE II-ASSOCIATED PROTEIN 1	1873	1940	7.8E-136	T	19-02-2024	IPR039913	RNA polymerase II-associated protein RPAP1/Rba50	GO:0006366
Tlin08136-RA	e900ae9157e8e988ea6b2697db4a28cf	1998	CDD	cd06257	DnaJ	531	580	7.93654E-14	T	19-02-2024	IPR001623	DnaJ domain	-
Tlin13069-RA	a43ca9398839fffe07a0ff12b0c92917	234	CDD	cd10442	GIY-YIG_PLEs	109	185	7.90475E-17	T	19-02-2024	-	-
Tlin08077-RA	0a1e3bb6c0cff8b99aca3438fb3c7896	241	Gene3D	G3DSA:3.40.630.30	-	9	241	1.0E-45	T	19-02-2024	-	-
Tlin08077-RA	0a1e3bb6c0cff8b99aca3438fb3c7896	241	PANTHER	PTHR20905	N-ACETYLTRANSFERASE-RELATED	9	222	5.8E-19	T	19-02-2024	-	-
Tlin08077-RA	0a1e3bb6c0cff8b99aca3438fb3c7896	241	SUPERFAMILY	SSF55729	Acyl-CoA N-acyltransferases (Nat)	23	167	9.08E-8	T	19-02-2024	IPR016181	Acyl-CoA N-acyltransferase	-
Tlin11203-RA	87d558c176323db2f31cf6080515b68f	168	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	53	75	-	T	19-02-2024	-	-
Tlin11203-RA	87d558c176323db2f31cf6080515b68f	168	Pfam	PF03694	Erg28 like protein	12	121	1.2E-17	T	19-02-2024	IPR005352	Erg28	GO:0016020
Tlin11203-RA	87d558c176323db2f31cf6080515b68f	168	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	105	127	-	T	19-02-2024	-	-
Tlin11203-RA	87d558c176323db2f31cf6080515b68f	168	PANTHER	PTHR15451	ERGOSTEROL BIOSYNTHETIC PROTEIN 28-RELATED	9	139	1.4E-14	T	19-02-2024	IPR005352	Erg28	GO:0016020
Tlin11203-RA	87d558c176323db2f31cf6080515b68f	168	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	10	32	-	T	19-02-2024	-	-
Tlin03758-RA	ef8c30284716916353a00e9fc603a5c0	441	PANTHER	PTHR16295	TRAF-TYPE ZINC FINGER PROTEIN-RELATED	153	438	4.3E-33	T	19-02-2024	-	-
Tlin03758-RA	ef8c30284716916353a00e9fc603a5c0	441	Gene3D	G3DSA:3.30.40.10	Zinc/RING finger domain, C3HC4 (zinc finger)	149	202	3.7E-5	T	19-02-2024	IPR013083	Zinc finger, RING/FYVE/PHD-type	-
Tlin08811-RA	a7db4bda9f66756c4f11ee1bd15c6a77	455	Gene3D	G3DSA:1.25.40.120	Protein prenylyltransferase	33	258	9.5E-33	T	19-02-2024	-	-
Tlin08811-RA	a7db4bda9f66756c4f11ee1bd15c6a77	455	PANTHER	PTHR11129	PROTEIN FARNESYLTRANSFERASE ALPHA SUBUNIT/RAB GERANYLGERANYL TRANSFERASE ALPHA SUBUNIT	44	371	1.9E-39	T	19-02-2024	-	-
Tlin08811-RA	a7db4bda9f66756c4f11ee1bd15c6a77	455	Pfam	PF01239	Protein prenyltransferase alpha subunit repeat	208	236	0.0017	T	19-02-2024	IPR002088	Protein prenyltransferase, alpha subunit	GO:0008318|GO:0018342
Tlin08811-RA	a7db4bda9f66756c4f11ee1bd15c6a77	455	Pfam	PF01239	Protein prenyltransferase alpha subunit repeat	120	149	2.8E-4	T	19-02-2024	IPR002088	Protein prenyltransferase, alpha subunit	GO:0008318|GO:0018342
Tlin08811-RA	a7db4bda9f66756c4f11ee1bd15c6a77	455	Pfam	PF01239	Protein prenyltransferase alpha subunit repeat	170	198	9.2E-6	T	19-02-2024	IPR002088	Protein prenyltransferase, alpha subunit	GO:0008318|GO:0018342
Tlin08811-RA	a7db4bda9f66756c4f11ee1bd15c6a77	455	SUPERFAMILY	SSF48439	Protein prenylyltransferase	37	421	7.46E-40	T	19-02-2024	-	-
Tlin05789-RA	a6552deea6f0f55cb557cc279b506562	59	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	20	39	-	T	19-02-2024	-	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	Gene3D	G3DSA:3.30.300.30	-	372	479	8.6E-6	T	19-02-2024	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	Pfam	PF00501	AMP-binding enzyme	98	375	1.0E-29	T	19-02-2024	IPR000873	AMP-dependent synthetase/ligase domain	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	SUPERFAMILY	SSF50998	Quinoprotein alcohol dehydrogenase-like	586	719	1.8E-13	T	19-02-2024	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	SUPERFAMILY	SSF50998	Quinoprotein alcohol dehydrogenase-like	675	910	9.29E-29	T	19-02-2024	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	Gene3D	G3DSA:3.40.50.12780	-	33	370	7.0E-36	T	19-02-2024	IPR042099	ANL, N-terminal domain	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	PANTHER	PTHR44394	BETA-ALANINE-ACTIVATING ENZYME	145	552	1.7E-124	T	19-02-2024	-	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	Pfam	PF13570	PQQ-like domain	633	669	0.0029	T	19-02-2024	IPR002372	Pyrrolo-quinoline quinone repeat	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	Gene3D	G3DSA:2.130.10.10	-	558	911	1.1E-37	T	19-02-2024	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	SUPERFAMILY	SSF56801	Acetyl-CoA synthetase-like	123	472	6.67E-49	T	19-02-2024	-	-
Tlin09073-RA	0f55cb6f7ba3e269af168fa71a90ffe2	911	Pfam	PF13360	PQQ-like domain	702	785	1.9E-7	T	19-02-2024	IPR002372	Pyrrolo-quinoline quinone repeat	-
Tlin10915-RA	f7e07556f8fa56253adb4571d60eea4d	697	Gene3D	G3DSA:1.10.10.10	-	538	644	3.2E-50	T	19-02-2024	IPR036388	Winged helix-like DNA-binding domain superfamily	-
Tlin10915-RA	f7e07556f8fa56253adb4571d60eea4d	697	PANTHER	PTHR12146	40S RIBOSOMAL PROTEIN S10	538	693	2.2E-62	T	19-02-2024	IPR037447	40S Ribosomal protein S10	-
Tlin10915-RA	f7e07556f8fa56253adb4571d60eea4d	697	Pfam	PF08243	SPT2 chromatin protein	420	507	2.5E-15	T	19-02-2024	IPR013256	Chromatin SPT2	-
Tlin10915-RA	f7e07556f8fa56253adb4571d60eea4d	697	Pfam	PF03501	Plectin/S10 domain	540	632	1.3E-44	T	19-02-2024	IPR005326	Plectin/S10, N-terminal	-
Tlin09458-RA	84328ba5358644b3303383ead70a09ae	131	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	51	70	-	T	19-02-2024	-	-
Tlin09458-RA	84328ba5358644b3303383ead70a09ae	131	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	85	107	-	T	19-02-2024	-	-
Tlin04827-RA	4a9c63a07a7591f5e59de5a965e1a85f	403	Gene3D	G3DSA:3.40.50.300	-	72	299	7.7E-51	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin04827-RA	4a9c63a07a7591f5e59de5a965e1a85f	403	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	71	319	4.43E-33	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin04827-RA	4a9c63a07a7591f5e59de5a965e1a85f	403	PANTHER	PTHR10513	DEOXYNUCLEOSIDE KINASE	63	320	1.9E-39	T	19-02-2024	-	-
Tlin04827-RA	4a9c63a07a7591f5e59de5a965e1a85f	403	Pfam	PF01712	Deoxynucleoside kinase	75	301	2.4E-35	T	19-02-2024	IPR031314	Deoxynucleoside kinase domain	-
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	SUPERFAMILY	SSF52833	Thioredoxin-like	20	183	1.19E-7	T	19-02-2024	IPR036249	Thioredoxin-like superfamily	-
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	SUPERFAMILY	SSF52833	Thioredoxin-like	206	368	1.34E-5	T	19-02-2024	IPR036249	Thioredoxin-like superfamily	-
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	PANTHER	PTHR13234	GAMMA-INTERFERON INDUCIBLE LYSOSOMAL THIOL REDUCTASE  GILT	213	392	1.3E-98	T	19-02-2024	IPR004911	Gamma interferon inducible lysosomal thiol reductase GILT	GO:0016671
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	15	197	3.5E-8	T	19-02-2024	-	-
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	202	383	2.1E-6	T	19-02-2024	-	-
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	Pfam	PF03227	Gamma interferon inducible lysosomal thiol reductase (GILT)	31	134	7.4E-29	T	19-02-2024	IPR004911	Gamma interferon inducible lysosomal thiol reductase GILT	GO:0016671
Tlin02500-RA	6ecbba682bcff0cdebb7f958111c0914	393	Pfam	PF03227	Gamma interferon inducible lysosomal thiol reductase (GILT)	217	320	1.4E-28	T	19-02-2024	IPR004911	Gamma interferon inducible lysosomal thiol reductase GILT	GO:0016671
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	PANTHER	PTHR43655	ATP-DEPENDENT PROTEASE	77	753	2.4E-249	T	19-02-2024	-	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Gene3D	G3DSA:3.40.1690.20	-	142	235	1.9E-17	T	19-02-2024	-	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	117	139	-	T	19-02-2024	-	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Pfam	PF17862	AAA+ lid domain	492	530	1.4E-12	T	19-02-2024	IPR041569	AAA ATPase, AAA+ lid domain	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Gene3D	G3DSA:1.20.58.760	Peptidase M41	541	731	1.2E-67	T	19-02-2024	IPR037219	Peptidase M41-like	GO:0004176|GO:0004222|GO:0005524|GO:0006508
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Pfam	PF01434	Peptidase family M41	546	726	6.2E-66	T	19-02-2024	IPR000642	Peptidase M41	GO:0004176|GO:0004222|GO:0005524|GO:0006508
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	SUPERFAMILY	SSF140990	FtsH protease domain-like	547	734	1.31E-61	T	19-02-2024	IPR037219	Peptidase M41-like	GO:0004176|GO:0004222|GO:0005524|GO:0006508
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Gene3D	G3DSA:1.10.8.60	-	464	540	1.5E-20	T	19-02-2024	-	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	329	462	2.5E-41	T	19-02-2024	IPR003959	ATPase, AAA-type, core	GO:0005524|GO:0016887
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	CDD	cd19501	RecA-like_FtsH	289	461	1.19015E-100	T	19-02-2024	-	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	Gene3D	G3DSA:3.40.50.300	-	277	462	3.9E-65	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin07221-RA	ce6d88db263fd02d3e2d5e2796951124	765	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	288	560	9.62E-67	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin12784-RA	a3695339adc5df95ba6b8409d14e6ee0	237	PANTHER	PTHR47577	THAP DOMAIN-CONTAINING PROTEIN 6	30	200	2.2E-14	T	19-02-2024	-	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	ProSitePatterns	PS00616	Histidine acid phosphatases phosphohistidine signature.	274	288	-	T	19-02-2024	IPR033379	Histidine acid phosphatase active site	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	Gene3D	G3DSA:3.40.50.1240	-	272	609	1.3E-92	T	19-02-2024	IPR029033	Histidine phosphatase superfamily	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	Pfam	PF00328	Histidine phosphatase superfamily (branch 2)	300	544	3.9E-15	T	19-02-2024	IPR000560	Histidine phosphatase superfamily, clade-2	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	SUPERFAMILY	SSF53254	Phosphoglycerate mutase-like	274	605	1.94E-77	T	19-02-2024	IPR029033	Histidine phosphatase superfamily	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	CDD	cd07061	HP_HAP_like	273	563	2.58975E-28	T	19-02-2024	IPR000560	Histidine phosphatase superfamily, clade-2	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	PANTHER	PTHR15323	D123 PROTEIN	5	241	3.4E-48	T	19-02-2024	IPR009772	Cell division cycle protein 123	-
Tlin01910-RA	10cc5a5cdb098218db86eb3280d9a344	609	Pfam	PF07065	D123	15	250	4.6E-46	T	19-02-2024	IPR009772	Cell division cycle protein 123	-
Tlin02074-RA	1cb30f0f1b58c014d496fca6eafe82f2	417	Gene3D	G3DSA:3.40.50.300	-	109	408	1.4E-77	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin02074-RA	1cb30f0f1b58c014d496fca6eafe82f2	417	Gene3D	G3DSA:1.10.8.60	-	279	399	1.4E-77	T	19-02-2024	-	-
Tlin02074-RA	1cb30f0f1b58c014d496fca6eafe82f2	417	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	100	331	3.34E-44	T	19-02-2024	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
Tlin02074-RA	1cb30f0f1b58c014d496fca6eafe82f2	417	PANTHER	PTHR23074	AAA DOMAIN-CONTAINING	107	412	1.8E-69	T	19-02-2024	-	-
Tlin02074-RA	1cb30f0f1b58c014d496fca6eafe82f2	417	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	145	276	1.0E-36	T	19-02-2024	IPR003959	ATPase, AAA-type, core	GO:0005524|GO:0016887
Tlin02074-RA	1cb30f0f1b58c014d496fca6eafe82f2	417	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	13	32	-	T	19-02-2024	-	-
Tlin07485-RA	04ef69c4a3a8934a30e5e81f938535e3	286	PANTHER	PTHR32546	G-PROTEIN COUPLED RECEPTOR 158-RELATED	1	254	3.4E-22	T	19-02-2024	IPR043458	G-protein coupled receptor 158/179	-
Tlin07485-RA	04ef69c4a3a8934a30e5e81f938535e3	286	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	4	26	-	T	19-02-2024	-	-
Tlin09026-RA	d281e021a4305e51581fe60c01322437	261	PANTHER	PTHR48209	AGL056WP	120	248	6.5E-16	T	19-02-2024	-	-
Tlin11829-RA	66f103597ec7bd17925662a029fd0af8	143	Gene3D	G3DSA:6.20.210.20	THAP domain	49	103	6.6E-8	T	19-02-2024	IPR038441	THAP-type zinc finger superfamily	-
Tlin11829-RA	66f103597ec7bd17925662a029fd0af8	143	Pfam	PF05485	THAP domain	14	111	1.2E-14	T	19-02-2024	IPR006612	THAP-type zinc finger	-
Tlin11829-RA	66f103597ec7bd17925662a029fd0af8	143	PANTHER	PTHR46600	THAP DOMAIN-CONTAINING	13	113	2.5E-12	T	19-02-2024	IPR026516	THAP domain-containing protein 1/10	GO:0043565
Tlin11829-RA	66f103597ec7bd17925662a029fd0af8	143	SUPERFAMILY	SSF57716	Glucocorticoid receptor-like (DNA-binding domain)	13	115	2.28E-14	T	19-02-2024	-	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	CDD	cd00012	NBD_sugar-kinase_HSP70_actin	15	187	4.06531E-4	T	19-02-2024	-	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	Gene3D	G3DSA:3.90.640.10	Actin; Chain A, domain 4	164	260	9.6E-71	T	19-02-2024	-	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	SUPERFAMILY	SSF53067	Actin-like ATPase domain	14	137	7.34E-20	T	19-02-2024	IPR043129	ATPase, nucleotide binding domain	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	PANTHER	PTHR11937	ACTIN	15	359	2.3E-37	T	19-02-2024	IPR004000	Actin family	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	Gene3D	G3DSA:3.30.420.40	-	15	360	9.6E-71	T	19-02-2024	-	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	SUPERFAMILY	SSF53067	Actin-like ATPase domain	133	360	6.76E-37	T	19-02-2024	IPR043129	ATPase, nucleotide binding domain	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	Pfam	PF00022	Actin	75	359	1.7E-38	T	19-02-2024	IPR004000	Actin family	-
Tlin02981-RA	b7ebc4b945d1d836495520e9f3648c83	381	Gene3D	G3DSA:3.30.420.40	-	122	335	9.6E-71	T	19-02-2024	-	-
Tlin02897-RA	a057fe49ae9a17c059e4f2a3e85c3ffe	526	CDD	cd20384	Tudor_ZGPAT	215	272	1.5991E-13	T	19-02-2024	-	-
Tlin02897-RA	a057fe49ae9a17c059e4f2a3e85c3ffe	526	Pfam	PF01585	G-patch domain	327	368	1.2E-12	T	19-02-2024	IPR000467	G-patch domain	GO:0003676
Tlin02897-RA	a057fe49ae9a17c059e4f2a3e85c3ffe	526	Gene3D	G3DSA:2.30.30.140	-	214	266	9.4E-11	T	19-02-2024	-	-
Tlin02897-RA	a057fe49ae9a17c059e4f2a3e85c3ffe	526	PANTHER	PTHR46297	ZINC FINGER CCCH-TYPE WITH G PATCH DOMAIN-CONTAINING PROTEIN	7	526	2.5E-98	T	19-02-2024	IPR043560	Zinc finger CCCH-type with G patch domain-containing protein	GO:0003700|GO:0045892
Tlin02897-RA	a057fe49ae9a17c059e4f2a3e85c3ffe	526	Gene3D	G3DSA:2.30.30.1190	-	123	213	2.7E-30	T	19-02-2024	-	-
Tlin00446-RA	2ce3d7f764ba85bba513da1a43c9d2ca	1155	Gene3D	G3DSA:1.25.10.10	-	2	257	1.1E-10	T	19-02-2024	IPR011989	Armadillo-like helical	-
Tlin00446-RA	2ce3d7f764ba85bba513da1a43c9d2ca	1155	Pfam	PF12719	Nuclear condensing complex subunits, C-term domain	549	872	1.0E-34	T	19-02-2024	IPR025977	Nuclear condensin complex subunit 3, C-terminal domain	-
Tlin00446-RA	2ce3d7f764ba85bba513da1a43c9d2ca	1155	PANTHER	PTHR14418	CONDENSIN COMPLEX SUBUNIT 3-RELATED	4	1136	1.6E-123	T	19-02-2024	IPR027165	Condensin complex subunit 3	GO:0000796|GO:0007076
